title,app_awareness,entropy,crypto,security,standards,external,unclassified
Aardvark: An Asynchronous Authenticated Dictionary with Applications to Account-based Cryptocurrencies.,4,1.779192368676858,0.4791666666666667,0.041666666666666664,0.020833333333333332,0.1875,0.2708333333333333
Long Live The Honey Badger: Robust Asynchronous DPSS and its Applications.,1,1.6774212838293647,0.4375,0.375,0.0,0.0625,0.125
Leakage-Abuse Attacks Against Structured Encryption for SQL.,4,1.7419560553694582,0.2916666666666667,0.4791666666666667,0.0,0.10416666666666667,0.125
Tight Auditing of Differentially Private Machine Learning.,3,1.4819160784700844,0.5714285714285714,0.2857142857142857,0.0,0.02857142857142857,0.11428571428571428
GPU-accelerated PIR with Client-Independent Preprocessing for Large-Scale Applications.,4,1.84033830955357,0.3333333333333333,0.30952380952380953,0.0,0.07142857142857142,0.2857142857142857
Formal verification of the PQXDH Post-Quantum key agreement protocol for end-to-end secure messaging.,3,1.8230495016162371,0.3333333333333333,0.40476190476190477,0.0,0.14285714285714285,0.11904761904761904
Private Proof-of-Stake Blockchains using Differentially-Private Stake Distortion.,4,1.836409816268609,0.4666666666666667,0.2,0.016666666666666666,0.06666666666666667,0.25
How to Abuse and Fix Authenticated Encryption Without Key Commitment.,4,1.8602140233880782,0.5423728813559322,0.1016949152542373,0.05084745762711865,0.15254237288135594,0.15254237288135594
Hyperproofs: Aggregating and Maintaining Proofs in Vector Commitments.,2,1.626726515358481,0.5757575757575758,0.19696969696969696,0.0,0.09090909090909091,0.13636363636363635
PORE: Provably Robust Recommender Systems against Data Poisoning Attacks.,3,1.7708446124200048,0.043478260869565216,0.2391304347826087,0.021739130434782608,0.1956521739130435,0.5
Notus: Dynamic Proofs of Liabilities from Zero-knowledge RSA Accumulators.,4,1.791869142041066,0.4,0.35384615384615387,0.0,0.09230769230769231,0.15384615384615385
Two Shuffles Make a RAM: Improved Constant Overhead Zero Knowledge RAM.,3,1.6796654161182683,0.5,0.3,0.0,0.12,0.08
GoFetch: Breaking Constant-Time Cryptographic Implementations Using Data Memory-Dependent Prefetchers.,2,1.9116966876993668,0.23157894736842105,0.47368421052631576,0.031578947368421054,0.09473684210526316,0.16842105263157894
Single Pass Client-Preprocessing Private Information Retrieval.,3,1.8404132332592256,0.3939393939393939,0.09090909090909091,0.0,0.21212121212121213,0.30303030303030304
"Shaken, not Stirred - Automated Discovery of Subtle Attacks on Protocols using Mix-Nets.",3,1.9566115276288008,0.2826086956521739,0.30434782608695654,0.0,0.15217391304347827,0.2608695652173913
