title,app_awareness,entropy,crypto,security,news,policy_gov,technical_doc,other,source_code,vendor_doc,industry_blog,systems,economics,IoT_networks
Aardvark: An Asynchronous Authenticated Dictionary with Applications to Account-based Cryptocurrencies.,4,1.8566914885885355,0.5208333333333334,0.041666666666666664,0.0,0.0,0.020833333333333332,0.2708333333333333,0.08333333333333333,0.0,0.0625,0.0,0.0,0.0
Long Live The Honey Badger: Robust Asynchronous DPSS and its Applications.,1,2.12084237789487,0.4375,0.25,0.0,0.020833333333333332,0.0,0.125,0.020833333333333332,0.0,0.0,0.125,0.0,0.020833333333333332
Leakage-Abuse Attacks Against Structured Encryption for SQL.,4,1.8655900007713488,0.2916666666666667,0.4583333333333333,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.020833333333333332,0.0,0.10416666666666667
Tight Auditing of Differentially Private Machine Learning.,3,1.4819160784700844,0.5714285714285714,0.2857142857142857,0.0,0.02857142857142857,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
GPU-accelerated PIR with Client-Independent Preprocessing for Large-Scale Applications.,4,1.8273501542402877,0.35714285714285715,0.30952380952380953,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.023809523809523808,0.0,0.0,0.023809523809523808
Formal verification of the PQXDH Post-Quantum key agreement protocol for end-to-end secure messaging.,3,1.9542346207668786,0.3333333333333333,0.40476190476190477,0.0,0.0,0.0,0.11904761904761904,0.09523809523809523,0.0,0.0,0.0,0.0,0.047619047619047616
Private Proof-of-Stake Blockchains using Differentially-Private Stake Distortion.,4,2.1592109088394533,0.4666666666666667,0.11666666666666667,0.0,0.03333333333333333,0.016666666666666666,0.25,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.016666666666666666
How to Abuse and Fix Authenticated Encryption Without Key Commitment.,4,2.0180009991844914,0.559322033898305,0.1016949152542373,0.0,0.05084745762711865,0.05084745762711865,0.15254237288135594,0.0,0.06779661016949153,0.01694915254237288,0.0,0.0,0.0
Hyperproofs: Aggregating and Maintaining Proofs in Vector Commitments.,2,1.6880211589553296,0.5909090909090909,0.19696969696969696,0.0,0.0,0.0,0.13636363636363635,0.015151515151515152,0.0,0.045454545454545456,0.0,0.0,0.015151515151515152
PORE: Provably Robust Recommender Systems against Data Poisoning Attacks.,3,2.035296721906538,0.06521739130434782,0.2391304347826087,0.0,0.10869565217391304,0.021739130434782608,0.5,0.0,0.021739130434782608,0.0,0.0,0.0,0.043478260869565216
