title,app_awareness,entropy,crypto,security,news,policy_gov,technical_doc,other,source_code,vendor_doc,industry_blog,systems,economics,IoT_networks
Practical Non-interactive Publicly Verifiable Secret Sharing with Thousands of Parties.,3,1.0508645574423576,0.8245614035087719,0.03508771929824561,0.0,0.017543859649122806,0.0,0.05263157894736842,0.0,0.0,0.0,0.017543859649122806,0.0,0.05263157894736842
SuperPack: Dishonest Majority MPC with Constant Online Communication.,1,1.3615419333359275,0.56,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.12
Spartan and Bulletproofs are Simulation-Extractable (for Free!).,2,1.3026511380090506,0.7096774193548387,0.14516129032258066,0.0,0.0,0.0,0.11290322580645161,0.016129032258064516,0.0,0.0,0.0,0.0,0.016129032258064516
Post-Quantum Security of the Even-Mansour Cipher.,2,0.4426608980694471,0.9285714285714286,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571
Integrating Causality in Messaging Channels.,4,1.4348990925265235,0.6944444444444444,0.1388888888888889,0.0,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0,0.0,0.05555555555555555,0.0,0.0
"Reduction from Sparse LPN to LPN, Dual Attack 3.0.",1,1.1929670777401706,0.7,0.0,0.0,0.0,0.02,0.24,0.02,0.0,0.0,0.0,0.0,0.02
"Finding the Impossible: Automated Search for Full Impossible-Differential, Zero-Correlation, and Integral Attacks.",1,0.6248735016721211,0.8958333333333334,0.020833333333333332,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.020833333333333332
How to Compress Encrypted Data.,1,1.8749911765991194,0.48148148148148145,0.14814814814814814,0.0,0.07407407407407407,0.0,0.25925925925925924,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
A Generic Algorithm for Efficient Key Recovery in Differential Attacks - and its Associated Tool.,2,0.5708584580574011,0.8947368421052632,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.02631578947368421
From Farfalle to Megafono via Ciminion: The PRF Hydra for MPC Applications.,3,1.061278124459133,0.75,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
Cryptanalysis of Candidate Obfuscators for Affine Determinant Programs.,1,0.7193856441631259,0.8461538461538461,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
Non-adaptive Universal One-Way Hash Functions from Arbitrary One-Way Functions.,1,0.7538275145266042,0.8387096774193549,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.0,0.0,0.0,0.03225806451612903
Round-Optimal and Communication-Efficient Multiparty Computation.,1,0.6957338078495314,0.8536585365853658,0.0,0.0,0.0,0.0,0.12195121951219512,0.0,0.0,0.0,0.0,0.0,0.024390243902439025
