Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Binyi Chen et al.: HyperPlonk: Plonk with Linear-Time Prover and High-Degree Custom Gates. (2023),2023,1,"""We present HyperPlonk, an adaptation of Plonk to the boolean hypercube, using multilinear polynomial commitments. HyperPlonk retains the flexibility of Plonk but provides several additional benefits. First, it avoids the need for an FFT during proof generation. Second, and more importantly, it supports custom gates of much higher degree than Plonk without harming the running time of the prover.""",1,"a,b",CRY
Gustavo Banegas et al.: Disorientation Faults in CSIDH. (2023),2023,,,,,
Fukang Liu et al.: Coefficient Grouping: Breaking Chaghri and More. (2023),2023,,,,,
Hamza Abusalah and Valerio Cini: An Incremental PoSW for General Weight Distributions. (2023),2023,1,"""In this work, we construct an iPoSW scheme based on the skiplist-based PoSW scheme of Abusalah et al. and prove its security in the random oracle model by employing the powerful on-the-fly sampling technique of Do ̈ttling et al.""",1,a,CRY
Benoît Cogliati et al.: Proof of Mirror Theory for a Wide Range of $\xi _{\max }$. (2023),2023,,,,,
Henri Gilbert et al.: Generic Attack on Duplex-Based AEAD Modes Using Random Function Statistics. (2023),2023,,,,,
Baptiste Lambin et al.: Pitfalls and Shortcomings for Decompositions and Alignment. (2023),2023,,,,,
Augustin Bariant and Gaëtan Leurent: Truncated Boomerang Attacks and Application to AES-Based Ciphers. (2023),2023,,,,,
"Hoeteck Wee and David J. Wu: Succinct Vector, Polynomial, and Functional Commitments from Lattices. (2023)",2023,,,,,
Hongrui Cui et al.: Actively Secure Half-Gates with Minimum Overhead Under Duplex Networks. (2023),2023,,,,,
"Hosein Hadipour et al.: Finding the Impossible: Automated Search for Full Impossible-Differential, Zero-Correlation, and Integral Attacks. (2023)",2023,1,"A new CP-based method to search for ID, ZC, and integral distinguishers and extend it to a unified constraint optimization problem for finding full ID, ZC, and integral attacks.",1,a,CRY
Elette Boyle et al.: Oblivious Transfer with Constant Computational Overhead. (2023),2023,,,,,
Cody Freitag et al.: Optimal Security for Keyed Hash Functions: Avoiding Time-Space Tradeoffs for Finding Collisions. (2023),2023,,,,,
Damien Robert: Breaking SIDH in Polynomial Time. (2023),2023,,,,,
Dan Boneh et al.: A Lower Bound on the Length of Signatures Based on Group Actions and Generic Isogenies. (2023),2023,,,,,
Daniel Escudero et al.: SuperPack: Dishonest Majority MPC with Constant Online Communication. (2023),2023,1,"In this work we present a novel actively secure dishonest majority MPC protocol, SuperPack, whose efficiency improves as the number of honest parties increases.",1,b,CRY
Chun Guo et al.: Impossibility of Indifferentiable Iterated Blockciphers from 3 or Less Primitive Calls. (2023),2023,,,,,
Danilo Francati et al.: Multi-key and Multi-input Predicate Encryption from Learning with Errors. (2023),2023,1,"We put forward two natural generalizations of predicate encryption (PE), dubbed multi-key and multi-input PE.",2,"a,b",DAD
Christina Boura et al.: Better Steady than Speedy: Full Break of SPEEDY-7-192. (2023),2023,,,,,
Danping Shi et al.: Exploiting Non-full Key Additions: Full-Fledged Automatic Demirci-Selçuk Meet-in-the-Middle Cryptanalysis of SKINNY. (2023),2023,,,,,
Dipayan Das and Antoine Joux: On the Hardness of the Finite Field Isomorphism Problem. (2023),2023,,,,,
Benny Applebaum and Niv Konstantini: Actively Secure Arithmetic Computation and VOLE with Constant Computational Overhead. (2023),2023,,,,,
Chaya Ganesh et al.: Witness-Succinct Universally-Composable SNARKs. (2023),2023,1,"In this paper, we provide a compiler lifting any simulation-extractable NIZKAoK into a UC-secure one in the global random oracle model, importantly, while preserving the same level of witness succinctness.",2,"a,b","6-BLK
"
Elette Boyle et al.: Sublinear-Communication Secure Multiparty Computation Does Not Require FHE. (2023),2023,,,,,
Eliana Carozza et al.: Short Signatures from Regular Syndrome Decoding in the Head. (2023),2023,,,,,
Feng-Hao Liu and Han Wang: Batch Bootstrapping I: - A New Framework for SIMD Bootstrapping in Polynomial Modulus. (2023),2023,1,"we develop substantial algebraic techniques in two papers. Particularly, the first one (this work) proposes a new mathematical framework for batch homomorphic computation that is compatible with the existing bootstrapping methods of AP14/FHEW/TFHE.",2,b,CRY
Feng-Hao Liu and Han Wang: Batch Bootstrapping II: - Bootstrapping in Polynomial Modulus only Requires Õ(1) FHE Multiplications in Amortization. (2023),2023,,,,,
Andrea Basso et al.: Supersingular Curves You Can Trust. (2023),2023,,,,,
Jiaxin Pan and Benedikt Wagner: Chopsticks: Fork-Free Two-Round Multi-signatures from Non-interactive Assumptions. (2023),2023,,,,,
Amit Agarwal et al.: A New Framework for Quantum Oblivious Transfer. (2023),2023,,,,,
"Jiahui Liu et al.: Another Round of Breaking and Making Quantum Money: - How to Not Build It from Lattices, and More. (2023)",2023,,,,,
Andre Esser and Floyd Zweydinger: New Time-Memory Trade-Offs for Subset Sum - Improving ISD in Theory and Practice. (2023),2023,,,,,
Junqing Gong et al.: Traitor Tracing with N<sup>1/3</sup>-Size Ciphertexts and O(1)-Size Keys from k-Lin. (2023),2023,,,,,
Junichi Tomida: Unbounded Quadratic Functional Encryption and More from Pairings. (2023),2023,,,,,
Junzuo Lai et al.: Asymmetric Group Message Franking: Definitions and Constructions. (2023),2023,,,,,
Akin Ünal: Worst-Case Subexponential Attacks on PRGs of Constant Degree or Constant Locality. (2023),2023,2,"In this work, we will give new attacks on the pseudorandomness of algebraic pseudorandom number generators (PRGs) of polynomial stretch.",1,"a,b",CRY
Kai-Min Chung et al.: Black-Box Separations for Non-interactive Classical Commitments in a Quantum World. (2023),2023,,,,,
Aayush Jain et al.: Polynomial-Time Cryptanalysis of the Subspace Flooding Assumption for Post-quantum i풪. (2023),2023,,,,,
Jan-Pieter D'Anvers: One-Hot Conversion: Towards Faster Table-Based A2B Conversion. (2023),2023,,,,,
Aayush Jain et al.: On the Optimal Succinctness and Efficiency of Functional Encryption and Attribute-Based Encryption. (2023),2023,,,,,
James Bartusek et al.: End-to-End Secure Messaging with Traceability Only for Illegal Content. (2023),2023,,,,,
Andrew Park et al.: NanoGRAM: Garbled RAM with $\widetilde{O}(\log N)$ Overhead. (2023),2023,,,,,
Joseph Jaeger: Let Attackers Program Ideal Models: Modularity and Composability for Adaptive Compromise. (2023),2023,1,We show that the adaptive compromise security definitions of Jaeger and Tyagi (Crypto ’20) cannot be applied in several natural usecases. We provide new variants of the definitions and show that they resolve these issues with composition.,1,"a,b",CRY
Abtin Afshar et al.: Fine-Grained Non-interactive Key-Exchange: Constructions and Lower Bounds. (2023),2023,1,"f K-NIKE protocols in the fine-grained setting, in which there is a polynomial gap between the running time of the honest parties and that of the adversary. Our goal is to show the possibility, or impossibility, of basing such protocols on weaker assumptions than those of K-NIKE for K ≥ 3",1,b,CRY
Julia Hesse et al.: Password-Authenticated TLS via OPAQUE and Post-Handshake Authentication. (2023),2023,,,,,
Ivan Damgård et al.: Minimizing Setup in Broadcast-Optimal Two Round MPC. (2023),2023,,,,,
"Ittai Abraham et al.: Detect, Pack and Batch: Perfectly-Secure MPC with Linear Communication and Constant Expected Time. (2023)",2023,,,,,
Itai Dinur et al.: On Differential Privacy and Adaptive Data Analysis with Bounded Space. (2023),2023,,,,,
Itai Dinur et al.: Efficient Detection of High Probability Statistical Properties of Cryptosystems via Surrogate Differentiation. (2023),2023,,,,,
Huck Bennett et al.: Just How Hard Are Rotations of $\mathbb {Z}^n$? Algorithms and Cryptography with the Simplest Lattice. (2023),2023,1,"""We study the computational problem of finding a shortest non-zero vector in a rotation of Zn, which we call ZSVP. It has been a long-standing open problem to determine if a polynomial-time algorithm for ZSVP exists, and there is by now a beautiful line of work showing how to solve it efficiently in certain very special cases.""",1,a,CRY
Yuval Ishai et al.: Round-Optimal Black-Box Protocol Compilers. (2022),2022,,,,,
Charanjit S. Jutla and Nathan Manohar: Sine Series Approximation of the Mod Function for Bootstrapping of Approximate HE. (2022),2022,,,,,
Stefano Tessaro and Chenzhi Zhu: Short Pairing-Free Blind Signatures with Exponential Security. (2022),2022,1,"the first practical pairing-free three-move blind signature schemes that (1) are concurrently secure, (2) produce short signatures (i.e., three or four group elements/scalars), and (3) are provably secure either in the generic group model (GGM) or the algebraic group model (AGM) under the (plain or one-more) discrete logarithm assumption (beyond additionally assuming random oracles)",2,b,CRY
Keita Xagawa: Anonymity of NIST PQC Round 3 KEMs. (2022),2022,,,,,
Chaya Ganesh et al.: Fiat-Shamir Bulletproofs are Non-Malleable (in the Algebraic Group Model). (2022),2022,,,,,
Yuyu Wang and Jiaxin Pan: Non-Interactive Zero-Knowledge Proofs with Fine-Grained Security. (2022),2022,,,,,
Si Gao et al.: Towards Micro-architectural Leakage Simulators: Reverse Engineering Micro-architectural Leakage Features Is Practical. (2022),2022,,,,,
Chris Brzuska and Geoffroy Couteau: On Building Fine-Grained One-Way Functions from Strong Average-Case Hardness. (2022),2022,,,,,
Si Gao and Elisabeth Oswald: A Novel Completeness Test for Leakage Models and Its Application to Side Channel Attacks and Responsibly Engineered Simulators. (2022),2022,,,,,
Zhen Shi et al.: A Correlation Attack on Full SNOW-V and SNOW-Vi. (2022),2022,,,,,
"Aayush Jain et al.: Indistinguishability Obfuscation from LPN over $\mathbb {F}_p$, DLIN, and PRGs in NC<sup>0</sup>. (2022)",2022,,,,,
Aarushi Goel et al.: Stacking Sigmas: A Framework to Compose $\varSigma $-Protocols for Disjunctions. (2022),2022,,,,,
Aarushi Goel et al.: Secure Multiparty Computation with Free Branching. (2022),2022,,,,,
Vipul Goyal et al.: Private Circuits with Quasilinear Randomness. (2022),2022,1,"""In this work, we improve the best previous asymptotic bound of Coron et al. [CGZ20] by an additional factor of t. Concretely, we show that any function f computed by a Boolean circuit of size s admits a t-private circuit which uses only O(t · log ts) random bits.""",1,"a,b",CRY
Yevgeniy Dodis et al.: Authentication in the Bounded Storage Model. (2022),2022,,,,,
Ashrujit Ghoshal et al.: Hiding in Plain Sight: Memory-Tight Proofs via Randomness Programming. (2022),2022,,,,,
Benjamin Wesolowski: Orientations and the Supersingular Endomorphism Ring Problem. (2022),2022,,,,,
Zvika Brakerski et al.: Batch-OT with Optimal Rate. (2022),2022,,,,,
Xiaoyang Dong et al.: Key Guessing Strategies for Linear Key-Schedule Algorithms in Rectangle Attacks. (2022),2022,2,we build a new rectangle framework on ciphers with linear key-schedule with the purpose of reducing overall complexity or attacking more rounds.,1,a,CRY
Benoît Libert et al.: One-Shot Fiat-Shamir-Based NIZK Arguments of Composite Residuosity and Logarithmic-Size Ring Signatures in the Standard Model. (2022),2022,,,,,
Xavier Bonnetain et al.: Beyond Quadratic Speedups in Quantum Attacks on Symmetric Schemes. (2022),2022,2,"In this paper, we report the first quantum key-recovery attack on a symmetric block cipher design, using classical queries only, with a more than quadratic time speedup compared to the best classical attack.",1,"a,b",CRY
Yilei Chen et al.: Quantum Algorithms for Variants of Average-Case Lattice Problems via Filtering. (2022),2022,1,"We show polynomial-time quantum algorithms for the following problems: SIS, LWE, EDCP.",1,"a,b",CRY
"Ward Beullens et al.: Group Signatures and More from Isogenies and Lattices: Generic, Simple, and Efficient. (2022)",2022,,,,,
Abida Haque et al.: Garbled Circuits with Sublinear Evaluator. (2022),2022,,,,,
Bruno Freitas Dos Santos et al.: Asymmetric PAKE with Low Computation and communication. (2022),2022,1,"In this paper we show two aPAKE protocols (but not strong aPAKEs like [13, 30]), which achieve optimal computational cost and optimal round complexity.",1,"a,b",CRY
Ueli Maurer et al.: Multi-Designated Receiver Signed Public Key Encryption. (2022),2022,,,,,
"Thomas Espitau et al.: Mitaka: A Simpler, Parallelizable, Maskable Variant of Falcon. (2022)",2022,,,,,
Andre Esser et al.: McEliece Needs a Break - Solving McEliece-1284 and Quasi-Cyclic-2918 with Modern ISD. (2022),2022,,,,,
Yongwoo Lee et al.: High-Precision Bootstrapping for Approximate Homomorphic Encryption by Error Variance Minimization. (2022),2022,,,,,
Suvradip Chakraborty et al.: Universally Composable Subversion-Resilient Cryptography. (2022),2022,1,A positive answer to the question: Can we obtain subversion resistance in a composable security framework?,1,a,CRY
Alexander May et al.: Approximate Divisor Multiples - Factoring with Only a Third of the Secret CRT-Exponents. (2022),2022,2,"We address Partial Key Exposure attacks on CRT-RSA on secret exponents dp, dq with small public exponent e.",1,"a,b",CRY
Youssef El Housni and Aurore Guillevic: Families of SNARK-Friendly 2-Chains of Elliptic Curves. (2022),2022,,,,,
Joël Alwen et al.: CoCoA: Concurrent Continuous Group Key Agreement. (2022),2022,,,,,
Michele Ciampi et al.: Round-Optimal Multi-party Computation with Identifiable Abort. (2022),2022,,,,,
Michele Ciampi et al.: Round-Optimal and Communication-Efficient Multiparty Computation. (2022),2022,1,"We provide a round-preserving black-box compiler that compiles a wide class of MPC protocols into circuit-scalable or circuit-independent maliciously secure MPC protocols in the plain model, assuming (succinct) FE combiners.",1,b,CRY
Megan Chen et al.: On Succinct Non-interactive Arguments in Relativized Worlds. (2022),2022,,,,,
Henry Corrigan-Gibbs et al.: Single-Server Private Information Retrieval with Sublinear Amortized Time. (2022),2022,,,,,
Hoeteck Wee: Optimal Broadcast Encryption and CP-ABE from Evasive Lattice Assumptions. (2022),2022,,,,,
Iftach Haitner et al.: Highly Efficient OT-Based Multiplication Protocols. (2022),2022,,,,,
Marcel Nageler et al.: Information-Combining Differential Fault Attacks on DEFAULT. (2022),2022,2,"we show that a DFA adversary can combine information across rounds to recover the full key, invalidating their security claim",1,a,CRY
James Hulett et al.: SNARGs for P from Sub-exponential DDH and QR. (2022),2022,,,,,
Jelle Don et al.: Online-Extractability in the Quantum Random-Oracle Model. (2022),2022,1,a simulator construction that does online extraction for QROM queries,1,b,CRY
Jens Groth and Victor Shoup: On the Security of ECDSA with Additive Key Derivation and Presignatures. (2022),2022,2,proving formal security of ECDSA with additive key derivation,2,c ,6-BLK
Jeremiah Blocki and Seunghoon Lee: On the Multi-user Security of Short Schnorr Signatures with Preprocessing. (2022),2022,1,proofs for short Schnorr signatures in the multiuser setting,2,a,CRY
Jiaxin Guan et al.: Incompressible Cryptography. (2022),2022,1,simple constructions of both incompressible public-key encryption and signatures under minimal assumptions,1,b,CRY
Jincheol Ha et al.: Rubato: Noisy Ciphers for Approximate Homomorphic Encryption. (2022),2022,1,"we propose a family of noisy ciphers, dubbed Rubato, with a novel design strategy of introducing noise to a symmetric cipher of a low algebraic degree.",2,c ,ML
Mihir Bellare and Viet Tung Hoang: Efficient Schemes for Committing Authenticated Encryption. (2022),2022,,,,,
Jonathan Bootle et al.: Gemini: Elastic SNARKs for Diverse Environments. (2022),2022,,,,,
Jonathan Bootle et al.: Zero-Knowledge IOPs with Linear-Time Prover and Polylogarithmic-Time Verifier. (2022),2022,,,,,
Loïs Huguenin-Dumittan and Serge Vaudenay: On IND-qCCA Security in the ROM and Its Applications - CPA Security Is Sufficient for TLS 1.3. (2022),2022,1,We show in this work that IND-qCCA is easily obtained from any passively secure PKE in the (Q)ROM.,2,c,"NIST,PQC,CNP,MSG"
Jung Hee Cheon and Keewoo Lee: Limits of Polynomial Packings for $\mathbb {Z}_{p^k}$ and $\mathbb {F}_{p^k}$. (2022),2022,,,,,
Ling Sun et al.: A Greater GIFT: Strengthening GIFT Against Statistical Cryptanalysis. (2022),2022,2,This paper provides a detailed analysis of GIFT-64 against differential and linear attacks,2,b,CRY
Li Yao et al.: Cryptanalysis of Candidate Obfuscators for Affine Determinant Programs. (2022),2022,2,cryptanalytic attacks on the iO candidate provided by Bartusek et al. ,1,b,CRY
"Léo Ducas and Wessel P. J. van Woerden: On the Lattice Isomorphism Problem, Quadratic Forms, Remarkable Lattices, and Cryptography. (2022)",2022,1,"In this work, we provide generic realizations of this natural idea (independently of the chosen remarkable lattice) by basing cryptography on the lattice isomorphism problem (LIP).",1,"a,b",CRY
Leo de Castro et al.: Asymptotically Quasi-Optimal Cryptography. (2022),2022,1,"In this work, we study the question of obtaining optimal efficiency, up to polylogarithmic factors, for all choices of n and λ, where n is the size of the given task. In particular, when n = λ, we would like the computational cost to be only O ̃(λ). We refer to this goal as asymptotically quasi-optimal (AQO) cryptography.",1,"a,b",CRY
Kai-Min Chung et al.: Constant-Round Blind Classical Verification of Quantum Sampling. (2022),2022,1,protocol for secure quantum sampling,2,c ,"PQC,ML"
"Leo de Castro and Antigoni Polychroniadou: Lightweight, Maliciously Secure Verifiable Function Secret Sharing. (2022)",2022,1,we present a lightweight construction of verifiable two-party function secret sharing (FSS) for point functions and multi-point functions.,2,b,"DAD,PH"
Laasya Bangalore et al.: Adaptively Secure Computation for RAM Programs. (2022),2022,,,,,
"Ke Wu et al.: A Complete Characterization of Game-Theoretically Fair, Multi-Party Coin Toss. (2022)",2022,,,,,
Khin Mi Mi Aung et al.: Field Instruction Multiple Data. (2022),2022,,,,,
Gal Arnon et al.: A PCP Theorem for Interactive Proofs and Applications. (2022),2022,1,"We present a generalization of the PCP theorem for interactive languages. We show that any language decidable by a k(n)-round IP has a k(n)-round public-coin IOP, where the verifier makes its decision by reading only O(1) bits from each (polynomially long) prover message and O(1) bits from each of its own (random) messages to the prove",1,"a,b",CRY
Damiano Abram et al.: Distributed (Correlation) Samplers: How to Remove a Trusted Dealer in One Round. (2022),2022,,,,,
Daniel Rausch et al.: Embedding the UC Model into the IITM Model. (2022),2022,,,,,
Sabyasachi Dey et al.: Revamped Differential-Linear Cryptanalysis on Reduced Round ChaCha. (2022),2022,,,,,
David Heath et al.: EpiGRAM: Practical Garbled RAM. (2022),2022,,,,,
Diana Ghinea et al.: Round-Optimal Byzantine Agreement. (2022),2022,,,,,
Dor Amzaleg and Itai Dinur: Refined Cryptanalysis of the GPRS Ciphers GEA-1 and GEA-2. (2022),2022,,,,,
Ran Cohen et al.: Guaranteed Output in $O(\sqrt{n})$ Rounds for Round-Robin Sampling Protocols. (2022),2022,,,,,
Ran Canetti et al.: COA-Secure Obfuscation and Applications. (2022),2022,1,"We show how to enhance a large class of obfuscation mechanisms to be COA-secure, assuming subexponentially secure IO for circuits and subexponentially secure one-way functions.",2,"a,b",SE
Elette Boyle et al.: Secure Multiparty Computation with Sublinear Preprocessing. (2022),2022,,,,,
Rachit Garg et al.: Dynamic Collusion Bounded Functional Encryption from Identity-Based Encryption. (2022),2022,,,,,
Pratyush Agarwal et al.: Secure Non-interactive Reduction and Spectral Analysis of Correlations. (2022),2022,,,,,
Fuchun Guo and Willy Susilo: Optimal Tightness for Chain-Based Unique Signatures. (2022),2022,1,We show that the proposed chain-based unique signature scheme by Guo et al. must have the reduction loss q1/n for q signature queries when each unique signature consists of n BLS signatures.,1,"a,b",CRY
Fuyuki Kitagawa and Ryo Nishimaki: Watermarking PRFs Against Quantum Adversaries. (2022),2022,1,"definition of secure watermarking PRFs for quantum adversaries (unremovability
against quantum adversaries) and construction fo two watermarking PRFs",2,c,"PQC,SE"
Craig Gentry et al.: Practical Non-interactive Publicly Verifiable Secret Sharing with Thousands of Parties. (2022),2022,1,We present a non-interactive PVSS scheme in which the underlying encryption scheme is based on the learning with errors (LWE) problem.,3,a,1-BLK
Gang Tang et al.: Practical Post-Quantum Signature Schemes from Isomorphism Problems of Trilinear Forms. (2022),2022,1,"a practical signature scheme based
on the alternating trilinear form equivalence problem",2,a,"PQC,NIST"
Ghada Almashaqbeh et al.: Unclonable Polymers and Their Cryptographic Applications. (2022),2022,1,"a mechanism for generating and manipulating protein polymers to obtain a new type of consumable storage that exhibits intriguing cryptographic “self-destruct” properties, assuming the hardness of certain polymer-sequencing problems",2,c,"ML,DDC"
"Persiano, G., Phan, D.H., Yung, M. Anamorphic Encryption: Private Communication Against a Dictator. (2022)",2022,1,"“Anamorphic Encryption” which shows that even if the dictator gets the keys and the messages used in the system (before anything is sent) and no other system is allowed, there is a covert way within the context of well established public-key cryptosystems for an entity to immediately (with no latency) send piggybacked secure messages which are, in spite of the stringent dictator conditions, hidden from the dictator itself!",4,a,PGTS
Giuseppe Persiano et al.: Anamorphic Encryption: Private Communication Against a Dictator. (2022),2022,,,,,TODO
"Nirvan Tyagi et al.: A Fast and Simple Partially Oblivious PRF, with Applications. (2022)",2022,1,We build the first construction of a partially oblivious pseudorandom function (POPRF) that does not rely on bilinear pairings.,1,a,CRY
Nir Bitansky et al.: Non-malleable Commitments Against Quantum Attacks. (2022),2022,1,"We construct, under standard hardness assumptions, the first non-malleable commitments secure against quantum attacks.",2,b,"PQC,GVE,ASC
"
Nils Fleischhacker et al.: Property-Preserving Hash Functions for Hamming Distance from Standard Assumptions. (2022),2022,1,"""In this work we construct robust property-preserving hash functions for the hamming-distance predicate which distinguishes inputs with a hamming distance at least some threshold t from those with distance less than t. The security of the construction is based on standard lattice hardness assumptions.""",1,b,CRY
Gorjan Alagic et al.: Post-Quantum Security of the Even-Mansour Cipher. (2022),2022,2,analysis of attacks on even-mansour cipher in the post quantum setting,2,c ,PQC
Hamidreza Amini Khorasgani et al.: Secure Non-interactive Simulation: Feasibility and Rate. (2022),2022,1,new notion of secure non-intearction simulation (SNIS),1,"a,b",CRY
Hannah Davis et al.: On the Concrete Security of TLS 1.3 PSK Mode. (2022),2022,,,,,
