Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Lorenzo Grassi et al.: Generalized Feistel Ciphers for Efficient Prime Field Masking. (2024),2024,1,"we start by describing the FPM (Feistel for Prime Masking) family of tweakable block ciphers based on a generalized Feistel structure. We then propose a first instantiation of FPM, which we denote as small-pSquare. It builds on the recent observation that the square operation (which is non-linear in Fp) can lead to masked gadgets that are more efficient than those for multiplication, and is tailored for efficient masked implementations in hardware. We analyze the mathematical security of the FPM family of ciphers and the small-pSquare instance, trying to isolate the parts of our study that can be re-used for other instances. We additionally evaluate the implementation features of small-pSquare by comparing the efficiency vs. security tradeoff of masked FPGA circuits against those of a state-of-the art binary cipher, namely SKINNY, confirming significant gains in relevant contexts.",3,a,NIST
Joseph Jaeger et al.: Symmetric Signcryption and E2EE Group Messaging in Keybase. (2024),2024,,,,,
Juan A. Garay et al.: Proof-of-Work-Based Consensus in Expected-Constant Time. (2024),2024,,,,,
Jiahui He et al.: Massive Superpoly Recovery with a Meet-in-the-Middle Framework - Improved Cube Attacks on Trivium and Kreyvium. (2024),2024,2,"In this paper, we provide new insights into CMP by elucidating the algebraic meaning to the core monomial trails.",1,"a,b",CRY
Ling Song et al.: Probabilistic Extensions: A One-Step Framework for Finding Rectangle Attacks and Beyond. (2024),2024,,,,,
Liam Eagen et al.: Bulletproofs++: Next Generation Confidential Transactions via Reciprocal Set Membership Arguments. (2024),2024,1,"""In this work, we introduce Bulletproofs++ (BP++), a drop-in replacement for BP that improves its concrete efficiency and compactness significantly. As for BP, the security of BP++ relies only on the hardness of the discrete logarithm problem in the random oracle model, and BP++ retains all features of Bulletproofs including transparent setup and support for proof aggregation, multi-party proving and batch verification. Asymptotically, BP++ range proofs require only O(n/ log n) group scalar multiplications compared to O(n) for BP and BP+.""",3,b,"1-BLK,6-BLK"
Kai-Min Chung et al.: Best-of-Both-Worlds Multiparty Quantum Computation with Publicly Verifiable Identifiable Abort. (2024),2024,,,,,
Léo Ducas et al.: Asymptotics and Improvements of Sieving for Codes. (2024),2024,2,"First we provide an asymptotic analysis which is not present in the original paper. Second, we propose a more systematic use of known NNS machinery, namely Locality Sensitive Hashing and Filtering (LSH/F), an approach that has been applied very successfully in the case of sieving over lattices.",1,"a,b",CRY
Khue Do et al.: M&M'S: Mix and Match Attacks on Schnorr-Type Blind Signatures with Repetition. (2024),2024,,,,,
Keita Xagawa: Signatures with Memory-Tight Security in the Quantum Random Oracle Model. (2024),2024,2,This paper studies the memory-tight reductions for post-quantum signature schemes in the quantum random oracle model.,1,b,CRY
Kelsey A. Jackson et al.: Evaluating the Security of CRYSTALS-Dilithium in the Quantum Random Oracle Model. (2024),2024,2,we provide the first proof of the hardness of SelfTargetMSIS via a reduction from MLWE in the Quantum Random Oracle Model (QROM).,3,a,"NIST,PQC"
"Kévin Carrier et al.: Reduction from Sparse LPN to LPN, Dual Attack 3.0. (2024)",2024,1,new reduction between types of cryptographic hardness assumptions,1,a,CRY
