Name & Authors,Year,"Crypto, cryptanalysis, or out of scope? (1 through 3)",Summary of the contribituon,Application engagement (1 throgh 4),Application engagement subtheme,Motivating Application (Typology)
Julien Béguinot et al.: Formal Security Proofs via Doeblin Coefficients: - Optimal Side-Channel Factorization from Noisy Leakage to Random Probing. (2024),2024,,,,,
Kai-Min Chung et al.: On Central Primitives for Quantum Cryptography with Classical Communication. (2024),2024,,,,,
Vipul Goyal et al.: Towards Achieving Asynchronous MPC with Linear Communication and Optimal Resilience. (2024),2024,,,,,
Sri Aravinda Krishnan Thyagarajan et al.: Game-Theoretically Fair Distributed Sampling. (2024),2024,,,,,
Surya Mathialagan et al.: Adaptively Sound Zero-Knowledge SNARKs for UP. (2024),2024,,,,,
Susumu Kiyoshima: Resettable Statistical Zero-Knowledge for $\ensuremath {\textsf{NP}}$. (2024),2024,,,,,
Thomas Decru: Radical $\root N \of {\mathrm {\acute{e}lu}}$ Isogeny Formulae. (2024),2024,,,,,
Thomas Espitau et al.: Flood and Submerse: Distributed Key Generation and Robust Threshold Signature from Lattices. (2024),2024,1,"""We propose a new framework based on random submersions—that is projection over a random subspace blinded by a small Gaussian noise—for constructing verifiable short secret sharing and showcase it to construct efficient threshold lattice-based signatures in the hash-and-sign paradigm, when based on noise flooding.""",1,b,CRY
Thomas Espitau et al.: Two-Round Threshold Signature from Algebraic One-More Learning with Errors. (2024),2024,,,,,
Tim Beyne and Yu Long Chen: Information-Theoretic Security with Asymmetries. (2024),2024,,,,,
Ting Peng et al.: New Approaches for Estimating the Bias of Differential-Linear Distinguishers. (2024),2024,1,"A formula, establishing a link between the bias of a differential-linear distinguisher and the probabilities of a series of truncated differentials.",1,a,CRY
Tomoyuki Morimae and Takashi Yamakawa: Quantum Advantage from One-Way Functions. (2024),2024,,,,,
Tomoyuki Morimae et al.: Unconditionally Secure Commitments with Quantum Auxiliary Inputs. (2024),2024,1,"We revisit the notion of quantum auxiliary-input commitments introduced by Chailloux, Kerenidis, and Rosgen (Comput. Complex. 2016)...We introduce a new model which we call the common reference quantum state (CRQS) model where both the committer and receiver take the same quantum state that is randomly sampled by an efficient setup algorithm.",2,b,"CUR, PQC,
"
Valerie Gilchrist et al.: Solving the Tensor Isomorphism Problem for Special Orbits with Low Rank Points: Cryptanalysis and Repair of an Asiacrypt 2023 Commitment Scheme. (2024),2024,1,analysis of tensor isomorphism problem with special orbits showing that a 2023 commitment scheme is broken; new construction of secure commitment scheme ,2,"a,c","NIST,PQC"
"Valerio Cini et al.: Polynomial Commitments from Lattices: Post-quantum Security, Fast Verification and Transparent Setup. (2024)",2024,,,,,
Vincenzo Botta et al.: Black-Box (and Fast) Non-malleable Zero Knowledge. (2024),2024,,,,,
Sourav Das and Ling Ren: Adaptively Secure BLS Threshold Signatures from DDH and co-CDH. (2024),2024,,,,,
"Wei-Kai Lin et al.: Doubly Efficient Cryptography: Commitments, Arguments and RAM MPC. (2024)",2024,,,,,
Wilson D. Nguyen et al.: Mangrove: A Scalable Framework for Folding-Based SNARKs. (2024),2024,,,,,
Xavier Bonnetain et al.: Improving Generic Attacks Using Exceptional Functions. (2024),2024,,,,,
Xiaoyang Dong et al.: Generic MitM Attack Frameworks on Sponge Constructions. (2024),2024,2,This paper proposes general meet-in-the-middle (MitM) attack frameworks for preimage and collision attacks on hash functions based on (generalized) sponge construction.,1,"a,b",CRY
Xiaoyu Ji et al.: Linear-Communication Asynchronous Complete Secret Sharing with Optimal Resilience. (2024),2024,,,,,
Xinyu Zhang et al.: Loquat: A SNARK-Friendly Post-quantum Signature Based on the Legendre PRF with Applications in Ring and Aggregate Signatures. (2024),2024,,,,,
Yevgeniy Dodis et al.: Compact Key Storage - A Modern Approach to Key Backup and Delegation. (2024),2024,,,,,
Youngjin Bae et al.: Plaintext-Ciphertext Matrix Multiplication and FHE Bootstrapping: Fast and Fused. (2024),2024,1,"""We give algorithms to convert from usual shared-secret RLWE ciphertexts to multi-secret ciphertexts and back. Further, we show that this format is compatible with homomorphic addition, plaintext-ciphertext multiplication, and key-switching. This in turn allows us to accelerate the slots-to-coeffs and coeffs-to-slots steps of CKKS bootstrapping when several ciphertexts are bootstrapped at once. Combining batch-bootstrapping with efficient PCMM results in MaMBo(Matrix Multiplication Bootstrapping), a bootstrapping algorithm that can perform a PC-MM for a limited overhead.""",2,b,CRY
Yuval Ishai et al.: PIR with Client-Side Preprocessing: Information-Theoretic Constructions and Lower Bounds. (2024),2024,,,,,
Yuyu Wang et al.: Fine-Grained Non-interactive Key-Exchange Without Idealized Assumptions. (2024),2024,1,we study multi-party non-interactive key exchange (NIKE) in the fine-grained setting.,1,"a,b",CRY
Zhongfeng Niu et al.: Speeding Up Preimage and Key-Recovery Attacks with Highly Biased Differential-Linear Approximations. (2024),2024,,,,,
Zhongyi Zhang et al.: Probabilistic Linearization: Internal Differential Collisions in up to 6 Rounds of SHA-3. (2024),2024,,,,,
Zoë Ruha Bell et al.: Certifying Private Probabilistic Mechanisms. (2024),2024,,,,,
Quang Dao et al.: Non-interactive Zero-Knowledge from LPN and MQ. (2024),2024,,,,,
Miranda Christ and Sam Gunn: Pseudorandom Error-Correcting Codes. (2024),2024,,,,,
Navid Alamati et al.: Improved Alternating-Moduli PRFs and Post-quantum Signatures. (2024),2024,1,We revisit the alternating moduli paradigm for constructing symmetric key primitives with a focus on constructing highly efficient protocols to evaluate them using secure multi-party computation (MPC).,1,"a,b",CRY
Ngoc Khanh Nguyen and Gregor Seiler: Greyhound: Fast Polynomial Commitments from Lattices. (2024),2024,,,,,
Nina Bindel et al.: Quantum Lattice Enumeration in Limited Depth. (2024),2024,,,,,
"Nir Bitansky and Nathan Geier: Amplification of Non-interactive Zero Knowledge, Revisited. (2024)",2024,,,,,
Nir Bitansky and Sapir Freizeit: Robust Additive Randomized Encodings from IO and Pseudo-Non-linear Codes. (2024),2024,1,"We construct RARE in the plain model from indistinguishability obfuscation, which is necessary, and a new primitive that we call pseudo-non-linear codes.",1,"a,b",CRY
Nir Bitansky et al.: Reusable Online-Efficient Commitments. (2024),2024,,,,,
Noga Amit and Guy N. Rothblum: Constant-Round Arguments for Batch-Verification and Bounded-Space Computations from One-Way Functions. (2024),2024,,,,,
Noga Ron-Zewi and Mor Weiss: Zero-Knowledge IOPs Approaching Witness Length. (2024),2024,1,we construct the first ZK-IOPs approaching the witness length for a natural NP problem.,1,"a,b",CRY
Nuttapong Attrapadung and Junichi Tomida: A Modular Approach to Registered ABE for Unbounded Predicates. (2024),2024,1,we propose a modular framework for constructing Reg-ABE schemes for a broader class of predicates.,1,"a,b",CRY
Phillip Gajland et al.: Ring Signatures for Deniable AKEM: Gandalf's Fellowship. (2024),2024,,,,,
Prabhanjan Ananth and Amit Behera: A Modular Approach to Unclonable Cryptography. (2024),2024,,,,,
Quang Dao and Aayush Jain: Lossy Cryptography from Code-Based Assumptions. (2024),2024,,,,,
Aayush Jain et al.: A Systematic Study of Sparse LWE. (2024),2024,1,"""In this work, we introduce the sparse LWE assumption, an assumption that draws inspiration from both Learning with Errors (Regev JACM 10) and Sparse Learning Parity with Noise (Alekhnovich FOCS 02). Exactly like LWE, this assumption posits indistinguishability of (A, sA + e mod p) from (A, u) for a random u where the secret s, and the error vector e is generated exactly as in LWE. However, the coefficient matrix A in sparse LPN is chosen randomly from Zn×m  p so that each column has Hamming weight exactly k for some small k. We study the problem in the regime where k is a constant or polylogarithmic.""",1,"a,b",CRY
Rachit Garg et al.: Reducing the CRS Size in Registered ABE Systems. (2024),2024,,,,,
